Name,Date,Open,High,Low,Close,Period,,
Gram18Ayar,11/26/2017,1273450,1281300,1270220,1278760,D,,
Gram18Ayar,11/28/2017,1282450,1289380,1280840,1288690,D,,
Gram18Ayar,11/29/2017,1288690,1301390,1288690,1295150,D,,
Gram18Ayar,12/2/2017,1296540,1303930,1296310,1300460,D,,
Gram18Ayar,12/3/2017,1300920,1304390,1299770,1301150,D,,
Gram18Ayar,12/4/2017,1300460,1311540,1299540,1311540,D,,
Gram18Ayar,12/5/2017,1312930,1316160,1305770,1307850,D,,
Gram18Ayar,12/9/2017,1285460,1286840,1276910,1283380,D,,
Gram18Ayar,12/10/2017,1285230,1290070,1281990,1285230,D,,
Gram18Ayar,12/11/2017,1285460,1291460,1282690,1283840,D,,
Gram18Ayar,12/12/2017,1281530,1284990,1276680,1277840,D,,
Gram18Ayar,12/13/2017,1281990,1283610,1277380,1277610,D,,
Gram18Ayar,12/16/2017,1281530,1284760,1277610,1281990,D,,
Gram18Ayar,12/17/2017,1280610,1282220,1277610,1279920,D,,
Gram18Ayar,12/18/2017,1280150,1282450,1278530,1281530,D,,
Gram18Ayar,12/19/2017,1281300,1289840,1281300,1284990,D,,
Gram18Ayar,12/20/2017,1287530,1290540,1283840,1286380,D,,
Gram18Ayar,12/23/2017,1296540,1302310,1291460,1295610,D,,
Gram18Ayar,12/24/2017,1295610,1300690,1293070,1296540,D,,
Gram18Ayar,12/25/2017,1296540,1298850,1295150,1298380,D,,
Gram18Ayar,12/26/2017,1298620,1303460,1298620,1302540,D,,
Gram18Ayar,12/27/2017,1303930,1312470,1303930,1310390,D,,
Gram18Ayar,12/30/2017,1326320,1344330,1325400,1343170,D,,
Gram18Ayar,12/31/2017,1345940,1355410,1333710,1347560,D,,
Gram18Ayar,1/1/2018,1347100,1371570,1346870,1369720,D,,
Gram18Ayar,1/2/2018,1369720,1386110,1369720,1383570,D,,
Gram18Ayar,1/3/2018,1391190,1402970,1383110,1400430,D,,
Gram18Ayar,1/6/2018,1360260,1367880,1351250,1359330,D,,
Gram18Ayar,1/7/2018,1359560,1372720,1358870,1372260,D,,
Gram18Ayar,1/8/2018,1370880,1380110,1363260,1371800,D,,
Gram18Ayar,1/9/2018,1374110,1374110,1365340,1369030,D,,
Gram18Ayar,1/10/2018,1370410,1384500,1367880,1382190,D,,
Gram18Ayar,1/13/2018,1391890,1412200,1388190,1410350,D,,
Gram18Ayar,1/14/2018,1413360,1421440,1391890,1393960,D,,
Gram18Ayar,1/15/2018,1394420,1404580,1394190,1401810,D,,
Gram18Ayar,1/16/2018,1402740,1405970,1398580,1402270,D,,
Gram18Ayar,1/17/2018,1406200,1412890,1402740,1411280,D,,
Gram18Ayar,1/20/2018,1407350,1422130,1407350,1420970,D,,
Gram18Ayar,1/21/2018,1422590,1445220,1422130,1443140,D,,
Gram18Ayar,1/22/2018,1441750,1454680,1422130,1441980,D,,
Gram18Ayar,1/23/2018,1444290,1449830,1438750,1442680,D,,
Gram18Ayar,1/24/2018,1450290,1455600,1443600,1448450,D,,
Gram18Ayar,1/27/2018,1442910,1449140,1434830,1438980,D,,
Gram18Ayar,1/28/2018,1439210,1448450,1439210,1447290,D,,
Gram18Ayar,1/29/2018,1447290,1450990,1438060,1440370,D,,
Gram18Ayar,1/30/2018,1440370,1444290,1436900,1441980,D,,
Gram18Ayar,1/31/2018,1443600,1457220,1442910,1456300,D,,
Gram18Ayar,2/3/2018,1457450,1474300,1456300,1473610,D,,
Gram18Ayar,2/4/2018,1473610,1483770,1472230,1478690,D,,
Gram18Ayar,2/5/2018,1478230,1489310,1477540,1482620,D,,
Gram18Ayar,2/6/2018,1484460,1512170,1479380,1480880,D,,
Gram18Ayar,2/7/2018,1478690,1493930,1472230,1477310,D,,
Gram18Ayar,2/10/2018,1472690,1493000,1472690,1487930,D,,
Gram18Ayar,2/12/2018,1502470,1528330,1490000,1528330,D,,
Gram18Ayar,2/13/2018,1528560,1549100,1515860,1519320,D,,
Gram18Ayar,2/14/2018,1517010,1517480,1498080,1505010,D,,
Gram18Ayar,2/17/2018,1496930,1511940,1483770,1487690,D,,
Gram18Ayar,2/18/2018,1442910,1456070,1417970,1456070,D,,
Gram18Ayar,2/19/2018,1440600,1448220,1426520,1443370,D,,
Gram18Ayar,2/21/2018,1431360,1434830,1421200,1430670,D,,
Gram18Ayar,2/24/2018,1438520,1453760,1438520,1451680,D,,
Gram18Ayar,2/25/2018,1451680,1465300,1451680,1465300,D,,
Gram18Ayar,2/26/2018,1469460,1499470,1469460,1495540,D,,
Gram18Ayar,2/27/2018,1495540,1496470,1469460,1469460,D,,
Gram18Ayar,2/28/2018,1474540,1482620,1463220,1474770,D,,
Gram18Ayar,3/3/2018,1485850,1485850,1481470,1485390,D,,
Gram18Ayar,3/4/2018,1491860,1492090,1485850,1490230,D,,
Gram18Ayar,3/5/2018,1493000,1496470,1491620,1491620,D,,
Gram18Ayar,3/6/2018,1487460,1498310,1484460,1498310,D,,
Gram18Ayar,3/7/2018,1504090,1505010,1496010,1496010,D,,
Gram18Ayar,3/10/2018,1500850,1516780,1499470,1514710,D,,
Gram18Ayar,3/11/2018,1514470,1517940,1510780,1512170,D,,
Gram18Ayar,3/12/2018,1509630,1516780,1508010,1516550,D,,
Gram18Ayar,3/13/2018,1518400,1533640,1517010,1533410,D,,
Gram18Ayar,3/14/2018,1533410,1538480,1530640,1531330,D,,
Gram18Ayar,3/17/2018,1520710,1522560,1517250,1518400,D,,
Gram18Ayar,3/18/2018,1512860,1532710,1512860,1522790,D,,
Gram18Ayar,3/19/2018,1524860,1535480,1523020,1533410,D,,
Gram18Ayar,3/25/2018,1581430,1592970,1581430,1592970,D,97/1/5,
Gram18Ayar,3/26/2018,1599430,1623210,1597820,1620900,D,,
Gram18Ayar,3/27/2018,1619750,1621600,1595280,1595970,D,,
Gram18Ayar,3/28/2018,1595970,1595970,1574500,1575190,D,,
Gram18Ayar,4/3/2018,1604510,1615590,1599430,1601280,D,,
Gram18Ayar,4/4/2018,1600820,1608210,1600360,1601970,D,,
Gram18Ayar,4/7/2018,1611440,1656690,1611440,1655300,D,,
Gram18Ayar,4/8/2018,1671460,1739570,1671460,1708400,D,,
Gram18Ayar,4/9/2018,1707940,1785970,1702630,1708400,D,,
Gram18Ayar,4/10/2018,1601740,1653230,1562260,1576120,D,,
Gram18Ayar,4/11/2018,1575650,1671460,1575420,1670540,D,,
Gram18Ayar,4/15/2018,1661070,1699170,1661070,1695700,D,,
